"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0043169","cation binding",540,58,28.3,29.7,5.5e-09,"<0.001",2.1
"2","GO:0046872","metal ion binding",527,55,27.6,27.4,4.9e-08,"<0.001",2
"3","GO:0043167","ion binding",744,66,38.9,27.1,8.3e-07,"4.0000000000000001E-3",1.7
"4","GO:0050789","regulation of biological process",1501,107,78.6,28.4,1.8e-06,"6.0000000000000001E-3",1.4
"5","GO:0050794","regulation of cellular process",1443,104,75.5,28.5,1.9e-06,"6.0000000000000001E-3",1.4
"6","GO:0035556","intracellular signal transduction",418,43,21.9,21.1,3.9e-06,"6.0000000000000001E-3",2
"7","GO:0007154","cell communication",965,77,50.5,26.5,4.7e-06,"6.0000000000000001E-3",1.5
"8","GO:0007165","signal transduction",884,71,46.3,24.7,1.3e-05,"1.6E-2",1.5
"9","GO:0005737","cytoplasm",1546,106,80.9,25.1,2.3e-05,"2.1999999999999999E-2",1.3
"10","GO:0048699","generation of neurons",254,29,13.3,15.7,3.1e-05,"2.5999999999999999E-2",2.2
