"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0043170","macromolecule metabolic process",1769,117,79.6,37.4,1.3e-07,"<0.001",1.5
"2","GO:0048522","positive regulation of cellular process",1555,105,70,35,4e-07,"<0.001",1.5
"3","GO:0071704","organic substance metabolic process",2022,127,91,36,5.2e-07,"<0.001",1.4
"4","GO:0044237","cellular metabolic process",1878,120,84.5,35.5,6.3e-07,"<0.001",1.4
"5","GO:0050794","regulation of cellular process",2566,150,115.5,34.5,1.4e-06,"<0.001",1.3
"6","GO:0010467","gene expression",1123,81,50.5,30.5,1.6e-06,"2E-3",1.6
"7","GO:0019222","regulation of metabolic process",1456,98,65.5,32.5,1.7e-06,"2E-3",1.5
"8","GO:0048518","positive regulation of biological process",1682,109,75.7,33.3,1.9e-06,"2E-3",1.4
"9","GO:0031326","regulation of cellular biosynthetic process",816,64,36.7,27.3,2e-06,"4.0000000000000001E-3",1.7
"10","GO:0050789","regulation of biological process",2675,154,120.4,33.6,2.2e-06,"4.0000000000000001E-3",1.3
"11","GO:0010468","regulation of gene expression",1056,77,47.5,29.5,2.2e-06,"4.0000000000000001E-3",1.6
"12","GO:0009889","regulation of biosynthetic process",839,65,37.8,27.2,2.5e-06,"4.0000000000000001E-3",1.7
"13","GO:0002682","regulation of immune system process",484,44,21.8,22.2,3e-06,"6.0000000000000001E-3",2
"14","GO:0044260","cellular macromolecule metabolic process",1496,99,67.3,31.7,3.4e-06,"6.0000000000000001E-3",1.5
"15","GO:0006807","nitrogen compound metabolic process",1759,111,79.2,31.8,5.7e-06,"1.6E-2",1.4
"16","GO:0060255","regulation of macromolecule metabolic process",1362,91,61.3,29.7,7.8e-06,"1.6E-2",1.5
"17","GO:0005622","intracellular anatomical structure",2697,152,121.4,30.6,1.5e-05,"0.02",1.3
"18","GO:0031323","regulation of cellular metabolic process",1284,86,57.8,28.2,1.5e-05,"0.02",1.5
"19","GO:0051171","regulation of nitrogen compound metabolic process",1207,82,54.3,27.7,1.6e-05,"0.02",1.5
"20","GO:0043167","ion binding",1328,88,59.8,28.2,1.8e-05,"2.4E-2",1.5
"21","GO:0006950","response to stress",926,67,41.7,25.3,1.9e-05,"2.4E-2",1.6
"22","GO:0044238","primary metabolic process",1846,113,83.1,29.9,2.1e-05,"3.4000000000000002E-2",1.4
"23","GO:0010556","regulation of macromolecule biosynthetic process",774,58,34.8,23.2,3e-05,"3.7999999999999999E-2",1.7
"24","GO:0009893","positive regulation of metabolic process",981,69,44.1,24.9,3.5e-05,"4.5999999999999999E-2",1.6
