"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0005737","cytoplasm",2301,113,72.7,40.3,3.9e-11,"<0.001",1.6
"2","GO:0005622","intracellular anatomical structure",2694,122,85.1,36.9,5.9e-10,"<0.001",1.4
"3","GO:0043226","organelle",2417,110,76.4,33.6,3.1e-08,"<0.001",1.4
"4","GO:0043229","intracellular organelle",2307,105,72.9,32.1,1.4e-07,"2E-3",1.4
"5","GO:0043227","membrane-bounded organelle",2159,100,68.2,31.8,1.9e-07,"2E-3",1.5
"6","GO:0043231","intracellular membrane-bounded organelle",2059,96,65.1,30.9,3.7e-07,"2E-3",1.5
"7","GO:0006996","organelle organization",731,47,23.1,23.9,5.6e-07,"2E-3",2
"8","GO:0005515","protein binding",2234,100,70.6,29.4,1.3e-06,"2E-3",1.4
"9","GO:0016043","cellular component organization",1494,75,47.2,27.8,1.7e-06,"2E-3",1.6
"10","GO:0071840","cellular component organization or biogenesis",1499,75,47.4,27.6,2e-06,"4.0000000000000001E-3",1.6
"11","GO:0034613","cellular protein localization",366,29,11.6,17.4,2.6e-06,"4.0000000000000001E-3",2.5
"12","GO:0016020","membrane",2139,96,67.6,28.4,2.9e-06,"4.0000000000000001E-3",1.4
"13","GO:0070727","cellular macromolecule localization",370,29,11.7,17.3,3.2e-06,"4.0000000000000001E-3",2.5
"14","GO:0050789","regulation of biological process",2675,112,84.5,27.5,4.3e-06,"4.0000000000000001E-3",1.3
"15","GO:0050794","regulation of cellular process",2568,108,81.1,26.9,8.1e-06,"8.0000000000000002E-3",1.3
"16","GO:0022607","cellular component assembly",687,42,21.7,20.3,1e-05,"0.01",1.9
"17","GO:0051641","cellular localization",670,41,21.2,19.8,1.4e-05,"1.6E-2",1.9
"18","GO:0044085","cellular component biogenesis",697,42,22,20,1.5e-05,"0.02",1.9
"19","GO:0050790","regulation of catalytic activity",670,40,21.2,18.8,3.2e-05,"3.2000000000000001E-2",1.9
"20","GO:0044237","cellular metabolic process",1878,84,59.3,24.7,3.6e-05,"3.4000000000000002E-2",1.4
